ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
139;1,6;-71,3;7,32;2,23;Negativno;Ne
140;8,2;-58,9;7,36;5,64;Negativno;Ne
141;2,9;-53,9;7,46;0,54;Negativno;Ne
142;8,0;-23,8;5,95;4,41;Negativno;Ne
143;4,9;-74,0;6,64;5,08;Negativno;Ne
144;1,6;-46,1;7,28;2,56;Pozitivno;Ne
145;1,9;-70,8;6,89;0,21;Negativno;Ne
146;12,8;-66,4;7,29;1,7;Negativno;Ne
147;5,4;-46,7;7,13;4,08;Negativno;Ne
148;12,9;-64,6;5,95;4,36;Negativno;Ne
149;1,3;-37,9;6,31;3,92;Negativno;Ne
150;8,2;-49,6;6,17;0,55;Negativno;Ne
151;9,4;-69,1;7,02;3,51;Pozitivno;Ne
152;9,1;-52,8;6,46;4,37;Negativno;Ne
153;10,9;-40,9;6,32;0,73;Negativno;Ne
154;10,9;-57,3;7,94;2,47;Negativno;Ne
155;9,2;-41,0;6,62;4,51;Negativno;Ne
156;9,2;-24,4;7,18;4,9;Negativno;Ne
157;14,6;-50,2;7,47;2,4;Negativno;Ne
158;4,7;-52,3;7,32;4,08;Negativno;Ne
159;2,3;-49,8;6,1;3,23;Negativno;Ne
160;8,1;-48,6;6,16;5,07;Negativno;Ne
161;14,6;-27,5;7,19;1,88;Negativno;Ne
162;8,0;-48,3;6,8;1,2;Negativno;Ne
163;8,1;-28,6;7,52;1,16;Negativno;Ne
164;3,3;-66,0;7,37;3,74;Negativno;Ne
165;8,7;-22,9;6,94;5,53;Negativno;Ne
166;4,9;-67,3;7,2;3,64;Negativno;Ne
167;3,9;-25,7;7,22;1,05;Negativno;Ne
168;13,0;-35,4;7,08;2,23;Negativno;Ne
169;5,2;-77,0;7,06;2,0;Negativno;Ne
170;8,3;-97,7;7,4;0,12;Negativno;Ne
171;7,5;-2,8;6,57;3,3;Negativno;Ne
172;10,1;-35,5;6,84;0,85;Negativno;Ne
173;2,3;-40,0;6,77;4,36;Negativno;Da
174;14,6;-90,9;7,13;5,77;Pozitivno;Ne
175;5,8;-30,3;7,98;3,75;Pozitivno;Ne
176;4,5;-58,8;7,36;1,53;Negativno;Ne
177;4,9;-35,3;7,25;0,14;Negativno;Ne
178;8,9;-57,6;7,33;3,1;Negativno;Ne
179;5,1;-66,7;6,82;2,7;Negativno;Ne
180;13,1;-34,6;7,41;2,98;Negativno;Ne
181;10,1;-53,1;7,54;0,69;Negativno;Ne
182;4,8;-37,9;6,68;0,52;Negativno;Ne
183;4,1;-49,8;6,33;5,52;Negativno;Ne
184;7,0;-48,0;7,43;2,25;Negativno;Ne
185;1,0;-42,8;7,12;0,27;Negativno;Ne
186;9,3;-55,8;6,97;0,28;Negativno;Ne
187;5,4;-83,2;7,92;1,77;Negativno;Ne
188;2,8;-58,0;5,61;4,4;Negativno;Ne
189;13,4;-53,9;6,77;1,57;Negativno;Ne
190;2,6;-53,9;7,71;2,32;Negativno;Ne
191;1,8;-20,7;7,16;3,96;Negativno;Ne
192;11,2;-51,9;7,0;1,22;Negativno;Ne
193;1,9;-64,0;6,85;5,16;Negativno;Ne
194;1,3;-62,2;7,35;2,89;Negativno;Ne
195;0,2;-54,5;6,76;2,36;Negativno;Ne
196;2,1;-43,6;6,68;1,86;Negativno;Ne
197;7,9;-34,6;6,14;4,63;Negativno;Ne
198;4,8;-67,9;7,23;1,07;Negativno;Ne
199;5,2;-44,2;6,56;2,46;Negativno;Ne
200;2,5;-67,4;5,86;4,42;Negativno;Ne
201;7,3;-55,4;6,74;5,15;Negativno;Ne
202;9,1;-63,9;6,77;1,38;Negativno;Ne
203;0,4;-74,8;7,85;2,81;Negativno;Ne
204;1,7;-62,6;7,21;4,05;Negativno;Ne
205;13,3;-62,6;6,2;3,24;Negativno;Ne
206;8,6;-48,2;6,89;0,19;Negativno;Ne
207;6,7;-55,9;6,11;1,68;Negativno;Ne
208;6,9;-30,4;6,83;2,4;Negativno;Ne
209;10,1;-38,9;7,42;4,0;Negativno;Ne
210;8,8;-48,8;6,82;3,55;Negativno;Ne
211;2,3;-11,1;7,87;5,87;Negativno;Ne
212;5,5;-11,8;6,78;10,313774759489382;Pozitivno;Da
213;8,3;-14,2;7,28;9,112292325334508;Pozitivno;Da
214;12,2;-53,9;6,53;3,2;Negativno;Ne
215;4,9;-66,7;6,53;1,85;Negativno;Ne
216;10,6;-50,0;7,16;5,48;Pozitivno;Ne
217;14,7;-65,4;6,97;3,63;Negativno;Ne
218;3,7;-48,5;7,69;5,32;Negativno;Ne
219;2,5;-54,7;6,69;4,3;Negativno;Ne
220;8,4;-72,5;6,7;3,36;Negativno;Ne
221;0,5;-33,1;6,61;4,37;Negativno;Ne
222;13,6;-51,5;7,18;0,61;Negativno;Ne
223;12,6;-66,1;6,91;0,75;Negativno;Ne
224;2,0;-57,7;6,91;5,02;Negativno;Ne
225;9,4;-45,7;7,38;1,59;Negativno;Ne
226;11,0;-57,8;7,55;4,2;Negativno;Ne
227;9,8;-42,3;6,47;2,45;Negativno;Ne
228;12,9;-36,4;6,57;2,34;Negativno;Ne
229;10,2;-43,2;6,88;0,48;Negativno;Ne
230;3,2;-50,0;7,2;4,33;Negativno;Ne
231;12,8;-53,8;8,18;3,73;Negativno;Ne
232;3,4;-56,3;7,9;0,7;Negativno;Ne
233;3,1;-51,1;7,22;1,23;Negativno;Ne
234;3,7;-42,0;6,5;1,1;Negativno;Ne
235;1,3;-54,6;6,75;5,94;Negativno;Ne
236;3,0;-37,2;7,44;0,43;Pozitivno;Ne
237;5,2;-26,9;6,96;0,23;Pozitivno;Da
238;12,3;-50,5;6,61;4,24;Negativno;Ne
239;1,8;-53,3;7,36;2,56;Negativno;Ne
240;14,4;-44,6;6,63;2,24;Negativno;Ne
241;2,9;-44,9;6,53;3,18;Negativno;Ne
242;10,1;-40,0;6,44;2,8;Negativno;Ne
243;6,7;-61,8;7,87;1,74;Negativno;Ne
244;10,8;-39,4;7,23;1,15;Negativno;Ne
245;11,0;-57,0;7,31;2,41;Negativno;Ne
246;0,4;-49,9;6,71;4,9;Negativno;Ne
247;10,6;-46,4;7,29;3,85;Negativno;Ne
248;7,9;-80,6;6,47;1,06;Negativno;Ne
249;2,1;-43,9;6,69;1,85;Negativno;Ne
250;3,6;-43,2;7,53;0,21;Negativno;Ne
251;9,9;-41,6;6,43;3,77;Negativno;Ne
252;14,7;-71,4;7,77;4,89;Negativno;Ne
253;3,1;-42,9;8,01;5,23;Negativno;Ne
254;9,7;-43,3;7,17;5,01;Negativno;Ne
255;0,2;-49,7;7,35;1,73;Negativno;Ne
256;6,9;-40,0;7,52;1,48;Negativno;Ne
257;7,5;-44,2;6,64;3,84;Negativno;Ne
258;0,3;-43,6;6,85;3,08;Negativno;Ne
259;0,2;-42,2;6,85;1,12;Negativno;Ne
260;14,6;-38,4;7,56;1,36;Negativno;Ne
261;3,9;-44,0;7,32;5,72;Negativno;Ne
262;1,6;-7,7;7,83;1,83;Pozitivno;Ne
263;5,1;-48,5;6,91;5,35;Negativno;Ne
264;14,3;150,0;-2,0;4,47;Pozitivno;Ne
265;10,5;-26,7;7,77;5,2;Negativno;Ne
266;4,4;-48,9;6,18;5,0;Negativno;Ne
267;1,7;-32,2;6,08;1,49;Negativno;Ne
268;2,0;-39,6;6,22;1,74;Negativno;Ne
269;1,3;-34,1;7,19;2,2;Negativno;Ne
270;11,3;-45,7;7,19;2,71;Negativno;Ne
271;0,6;-82,4;6,66;5,78;Negativno;Ne
272;7,0;-23,8;7,26;2,58;Negativno;Ne
273;8,5;-60,9;6,66;4,3;Negativno;Ne
274;9,4;-38,1;6,99;2,21;Negativno;Ne
275;12,3;-69,1;7,54;5,85;Negativno;Ne
276;10,2;-43,0;6,7;5,55;Negativno;Ne
277;14,2;-53,4;7,87;2,97;Negativno;Ne
278;14,0;-28,8;6,5;0,31;Pozitivno;Ne
279;1,7;-34,3;7,11;0,73;Negativno;Ne
280;0,7;-25,4;7,08;2,96;Negativno;Ne
281;6,8;-35,2;7,17;1,9;Negativno;Ne
282;14,2;-19,0;6,41;0,71;Negativno;Ne
283;8,0;-51,0;6,95;5,59;Negativno;Ne
284;4,5;-37,9;7,89;1,97;Negativno;Ne
285;5,8;-46,1;7,47;2,4;Negativno;Ne
286;8,9;-78,1;6,52;5,58;Negativno;Ne
287;11,2;-50,0;6,56;4,93;Negativno;Ne
288;10,5;-35,8;7,05;5,61;Negativno;Ne
289;4,9;-47,6;6,39;5,77;Negativno;Ne
290;0,7;-66,8;5,98;4,85;Negativno;Ne
291;12,7;-95,3;7,2;1,18;Pozitivno;Ne
292;11,3;-16,7;7,67;3,67;Negativno;Ne
293;14,1;-53,5;7,3;3,82;Negativno;Ne
294;0,4;-9,0;6,88;4,933094309164631;Pozitivno;Da
295;1,9;-59,5;6,03;3,87;Pozitivno;Ne
296;7,2;-54,2;6,76;5,88;Negativno;Ne
297;0,4;-60,3;7,65;3,39;Pozitivno;Ne
298;14,8;-37,2;6,38;1,73;Negativno;Ne
299;6,1;-48,6;7,24;2,02;Negativno;Ne
300;7,0;-82,4;6,66;3,12;Negativno;Ne
301;0,3;-54,6;6,79;2,8;Pozitivno;Ne
302;9,8;-44,2;6,31;3,11;Negativno;Ne
303;1,8;-33,9;7,22;5,56;Negativno;Ne
304;1,5;-29,5;7,47;4,2;Negativno;Ne
305;13,5;-31,3;7,2;1,88;Negativno;Ne
306;0,8;-54,6;7,18;4,7;Pozitivno;Ne
307;2,2;-46,3;6,51;4,03;Pozitivno;Ne
308;11,4;-7,2;7,33;5,14;Pozitivno;Ne
309;4,2;-56,1;6,63;4,83;Negativno;Ne
310;7,2;-40,8;6,52;3,69;Negativno;Da
311;11,9;-66,0;6,6;3,69;Negativno;Ne
312;7,2;-67,4;7,2;2,4;Negativno;Ne
313;10,3;-13,1;7,05;7,225106602371023;Pozitivno;Da
314;3,7;-72,4;6,61;0,63;Negativno;Ne
315;1,8;-38,0;6,55;5,99;Negativno;Ne
316;8,5;-31,8;6,33;1,68;Negativno;Da
317;6,3;-58,7;8,14;4,05;Negativno;Ne
318;9,3;-55,9;7,85;2,62;Negativno;Ne
319;1,1;-67,0;7,2;1,8;Negativno;Ne
320;3,2;-28,4;7,09;2,93;Negativno;Ne
321;0,2;-60,3;6,64;4,55;Negativno;Ne
322;9,7;-47,5;7,14;4,3;Negativno;Ne
323;11,7;-45,2;6,4;4,37;Negativno;Ne
324;8,5;-44,4;6,96;3,27;Negativno;Ne
325;8,3;-59,7;6,97;4,73;Negativno;Ne
326;3,9;-67,1;6,78;2,98;Negativno;Ne
327;2,8;-39,8;7,87;4,49;Negativno;Ne
328;12,3;-39,3;6,49;0,5;Negativno;Ne
329;11,8;-68,0;6,63;4,78;Negativno;Ne
330;8,7;-70,9;7,55;5,63;Negativno;Ne
331;3,0;-57,0;7,14;2,73;Negativno;Ne
332;7,3;-42,4;6,22;5,45;Negativno;Ne
333;10,3;-20,0;7,9;7,202292325334508;Pozitivno;Da
334;0,9;-56,1;6,8;0,84;Negativno;Ne
335;9,4;-33,8;7,4;3,37;Negativno;Ne
336;12,6;-41,8;6,76;2,54;Negativno;Ne
337;12,4;-69,8;7,57;0,14;Pozitivno;Ne
338;6,7;-54,6;7,14;1,28;Negativno;Ne
339;0,7;-64,0;6,15;4,32;Negativno;Ne
340;11,0;-65,3;6,65;3,07;Negativno;Ne
341;6,9;-44,7;6,26;4,66;Negativno;Ne
342;9,0;-73,8;6,79;4,73;Negativno;Ne
343;6,6;-70,5;6,26;2,64;Negativno;Ne
344;3,6;-51,3;6,89;3,46;Negativno;Ne
345;3,0;-39,4;7,6;4,26;Pozitivno;Ne
346;2,5;-34,8;6,83;3,58;Negativno;Ne
347;4,7;-62,6;7,64;5,03;Pozitivno;Ne
348;12,3;-49,7;7,38;1,51;Negativno;Ne
349;5,1;-55,0;6,83;1,45;Negativno;Ne
350;12,4;-36,7;6,72;5,52;Negativno;Ne
351;10,5;-50,8;6,99;1,85;Negativno;Ne
352;14,0;-54,8;6,62;3,24;Negativno;Ne
353;4,7;-45,8;7,38;4,72;Negativno;Ne
354;2,5;-15,4;6,06;8,225106602371023;Pozitivno;Da
355;12,9;-40,7;6,03;3,8;Negativno;Ne
356;5,6;-57,8;7,19;1,52;Negativno;Ne
357;11,0;-54,9;7,45;2,83;Negativno;Ne
358;8,4;-50,6;6,06;1,83;Negativno;Ne
359;14,8;-15,7;6,18;9,53229232533451;Pozitivno;Da
360;9,6;-60,6;6,49;0,78;Negativno;Ne
361;9,5;-32,4;7,49;4,25;Negativno;Ne
362;3,6;-45,2;6,47;3,93;Negativno;Ne
363;9,2;-34,4;7,11;5,88;Negativno;Ne
364;10,3;-49,7;6,32;1,95;Negativno;Ne
365;5,4;-71,9;6,99;2,6;Negativno;Ne
366;14,7;-44,9;6,78;3,14;Negativno;Ne
367;9,5;-51,7;7,19;1,61;Negativno;Ne
368;8,8;-54,5;6,26;1,42;Negativno;Ne
369;0,4;-69,8;7,96;5,8;Negativno;Ne
370;7,1;-33,4;6,43;5,39;Negativno;Ne
371;12,1;-46,5;7,12;2,54;Negativno;Ne
372;8,0;-69,6;6,96;1,43;Negativno;Ne
373;14,4;-38,0;7,14;3,21;Negativno;Ne
374;0,6;-62,8;6,5;3,12;Negativno;Ne
375;11,4;-62,1;6,41;2,76;Negativno;Ne
376;5,7;-19,2;6,96;1,37;Negativno;Ne
377;14,6;-43,8;6,76;1,24;Negativno;Ne
378;10,5;-68,9;6,48;2,83;Pozitivno;Ne
379;11,7;-20,2;7,5;3,27;Negativno;Ne
380;14,9;-70,5;5,88;5,29;Negativno;Ne
381;13,9;-59,8;7,43;3,76;Negativno;Ne
382;7,8;-42,6;8,49;3,96;Negativno;Ne
383;7,0;-30,5;6,57;4,65;Negativno;Ne
384;5,1;-18,5;7,52;9,345106602371022;Pozitivno;Da
385;4,7;-40,9;7,37;2,57;Negativno;Ne
386;3,7;-31,6;7,79;5,08;Negativno;Ne
387;15,0;-68,1;7,71;0,88;Negativno;Ne
388;12,5;-50,7;7,56;5,38;Negativno;Ne
389;12,6;-66,8;7,71;0,73;Pozitivno;Ne
390;8,2;-54,9;5,93;2,0;Negativno;Ne
391;13,8;-65,1;6,66;0,51;Negativno;Ne
392;3,1;-34,4;7,41;0,79;Negativno;Ne
393;12,2;-52,6;7,68;2,1;Negativno;Ne
394;2,8;-59,6;7,8;1,06;Negativno;Ne
395;8,8;-46,7;7,55;0,13;Negativno;Ne
396;9,6;-20,3;7,26;5,34;Negativno;Ne
397;0,9;-12,5;5,95;8,933774759489381;Pozitivno;Da
398;12,0;-50,5;7,32;1,59;Negativno;Ne
399;10,3;-87,1;7,26;4,07;Negativno;Ne
400;13,4;-33,5;6,58;3,79;Negativno;Ne
401;5,9;-26,2;5,95;5,74;Negativno;Da
402;10,5;-34,8;6,57;1,98;Negativno;Ne
403;6,7;-48,9;7,48;2,25;Negativno;Ne
404;6,1;-53,7;7,45;5,91;Negativno;Ne
405;5,5;-34,8;7,6;1,09;Negativno;Ne
406;8,5;-41,6;6,87;1,55;Negativno;Ne
407;3,5;-58,2;6,76;4,53;Negativno;Ne
408;7,4;-15,5;7,41;6,985106602371022;Pozitivno;Da
409;9,4;-48,6;7,05;2,52;Negativno;Ne
410;11,6;-48,3;6,24;2,46;Negativno;Ne
411;11,5;-84,5;7,21;1,88;Negativno;Ne
412;5,8;-42,6;6,92;5,68;Negativno;Da
413;6,3;-92,7;7,14;1,23;Negativno;Ne
414;12,4;-33,3;6,84;3,25;Negativno;Ne
415;9,5;-66,7;7,41;1,01;Negativno;Ne
416;12,2;-36,3;7,16;5,77;Negativno;Ne
417;6,0;-58,7;7,4;3,01;Negativno;Ne
418;6,3;-49,3;6,85;0,7;Negativno;Ne
419;8,4;-23,8;6,87;3,33;Negativno;Ne
420;0,4;-31,6;7,62;2,47;Negativno;Ne
421;8,4;-34,0;6,16;1,98;Negativno;Ne
422;11,3;-30,6;7,37;3,75;Negativno;Ne
423;2,3;-68,2;6,68;0,7;Negativno;Ne
424;12,5;-47,6;6,04;3,48;Negativno;Ne
425;5,2;-56,4;6,33;2,51;Negativno;Ne
426;8,5;-34,5;7,01;2,34;Negativno;Ne
427;13,0;-34,8;7,32;0,75;Negativno;Da
428;5,8;-56,5;7,87;4,12;Negativno;Ne
429;5,0;-54,3;6,47;1,76;Negativno;Ne
430;11,0;-54,3;6,96;0,88;Pozitivno;Ne
431;8,6;-40,1;6,31;0,13;Pozitivno;Ne
432;13,7;-71,4;6,94;4,09;Negativno;Ne
433;0,4;-64,4;6,83;5,37;Negativno;Ne
434;0,5;-42,0;7,12;5,41;Negativno;Ne
435;5,9;-42,7;6,94;3,84;Negativno;Ne
436;4,5;-33,4;6,45;5,86;Negativno;Ne
437;2,2;-43,3;7,16;2,48;Negativno;Ne
438;4,6;150,0;-2,0;2,22;Pozitivno;Ne
439;3,4;-41,1;7,52;1,28;Negativno;Ne
440;10,5;-57,6;6,94;2,47;Negativno;Ne
441;10,9;-41,9;7,54;4,01;Negativno;Ne
442;5,7;-38,9;7,44;3,94;Negativno;Ne
443;6,0;-55,4;6,88;5,29;Negativno;Ne
444;11,6;-52,6;6,29;4,83;Negativno;Ne
445;12,0;-50,1;6,96;4,12;Negativno;Ne
446;4,0;-68,0;6,26;1,97;Negativno;Ne
447;8,1;-51,0;7,37;4,04;Negativno;Ne
448;6,5;-85,6;7,48;0,71;Negativno;Ne
449;1,0;-35,6;6,93;5,57;Negativno;Ne
450;8,1;-63,4;6,88;2,84;Negativno;Ne
451;5,7;-39,3;5,96;2,9;Negativno;Ne
452;2,8;-81,3;7,1;1,62;Negativno;Ne
453;10,4;-57,0;7,59;1,11;Negativno;Ne
454;1,7;-55,7;8,08;5,32;Negativno;Da
455;2,0;-40,0;6,47;1,03;Negativno;Ne
456;4,2;-38,5;6,28;3,28;Negativno;Ne
457;14,9;-51,4;6,85;3,25;Negativno;Ne
458;12,7;-68,7;7,44;1,7;Negativno;Ne
459;14,7;-34,8;6,12;2,67;Negativno;Ne
460;9,7;-78,2;7,53;2,63;Negativno;Ne
461;6,7;-50,8;6,63;0,74;Negativno;Ne
462;4,7;-79,7;6,89;1,7;Negativno;Ne
463;8,4;-40,4;7,53;4,3;Negativno;Ne
464;14,0;-72,8;7,74;1,24;Negativno;Ne
465;7,7;-39,5;6,75;3,37;Negativno;Ne
466;5,9;-87,4;6,89;0,63;Negativno;Ne
467;6,5;-31,3;7,24;2,49;Negativno;Ne
468;0,2;-58,6;6,39;0,11;Negativno;Ne
469;13,4;-36,8;5,93;1,44;Negativno;Ne
470;1,6;-65,8;7,25;4,85;Negativno;Ne
471;13,3;-28,8;7,08;3,54;Negativno;Ne
472;7,6;-37,7;6,38;4,9;Negativno;Ne
473;5,0;-19,1;6,96;4,93;Negativno;Ne
474;0,2;-33,8;7,49;3,54;Negativno;Ne
475;1,6;-62,3;6,57;0,12;Negativno;Ne
476;12,0;-43,6;6,11;5,37;Negativno;Ne
477;7,1;-52,9;7,17;4,86;Negativno;Ne
478;3,3;-54,8;6,19;0,38;Negativno;Ne
479;13,0;-55,9;6,53;3,38;Negativno;Ne
480;0,4;-58,0;6,98;5,11;Negativno;Ne
481;12,3;-72,5;6,83;5,55;Pozitivno;Ne
482;2,7;-48,4;7,77;0,62;Negativno;Ne
483;3,4;-45,4;5,99;3,51;Negativno;Ne
484;0,7;-62,8;6,7;0,55;Negativno;Ne
485;11,1;-46,0;6,88;5,83;Pozitivno;Ne
486;4,2;-45,4;6,16;4,59;Negativno;Ne
487;8,3;-36,2;7,07;0,93;Negativno;Ne
488;5,4;-43,5;6,62;5,79;Negativno;Ne
489;2,7;-37,3;7,56;2,58;Negativno;Ne
490;13,5;-46,9;6,76;4,59;Negativno;Ne
